,X,lookup,x,y,state,County,address,prcp,tmax,ndvi,year,location,PHDI_average,palmer_z_average,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,landcover,dtw,landcover_1,landcover_2,landcover_5,landcover_6,landcover_7,landcover_8,landcover_11,landcover_14,landcover_15,landcover_18,county_id
15,15,801 2019,-84.91,29.9,florida,Franklin,"Franklin County, Florida, United States",0.179593441,0.282528308,0.937400951,0,801,0.398630421,0.190662494,0.206720554,0.644875899,0.333268612,0.855475566,0.361543968,0.170809889,0.793596067,0.34215363,0.330518677,0.300866238,0.174679899,0.778491172,0.557894737,0.735294118,0.286327728,0.621621622,0.8,0.615384615,0.738831615,14,0.182765147,0,0,0,0,0,0,0,1,0,0,18
16,16,801 2019,-85.06,30.9,florida,Jackson,"Dunaway Road, Jackson County, Florida, 32423, United States",0.157193384,0.159073239,0.837432647,0,801,0.398630421,0.190662494,0.092720188,0.897044673,0.455161671,1,0.83960118,0.020957048,1,0.362481708,0.711188156,0.251827873,0.041272307,0.553772071,0.052631579,0.514705882,0.079939957,0.054054054,0.666666667,0.133603239,0.862542955,2,0.15671982,0,1,0,0,0,0,0,0,0,0,31
17,17,801 2019,-84.51,30.1,florida,Wakulla,"Newberry Lane, Wakulla County, Florida, 32358, United States",0.293380015,0.175278228,0.921246698,0,801,0.398630421,0.190662494,0.177674589,0.738758497,0.406353649,0.877682509,0.480482343,0.127460861,0.850487765,0.279712425,0.297994948,0.259927964,0.146945137,0.797752809,0.568421053,0.794117647,0.250649063,0.544401544,0.752380952,0.643724696,0.749140893,14,0.15671982,0,0,0,0,0,0,0,1,0,0,65
18,18,801 2019,-85.01,29.75,florida,Franklin,"Bay City, Franklin County, Florida, 32329, United States",0.182201422,0.398728949,0.653555203,0,801,0.398630421,0.190662494,0.252024455,0.497194092,0.212660198,0.817137957,0.188410823,0.246073076,0.69967594,0.421224876,0.659920948,0.354832897,0.218295454,0.744783307,0.6,0.647058824,0.317760434,0.648648649,0.79047619,0.582995951,0.701030928,2,0.129234475,0,1,0,0,0,0,0,0,0,0,18
19,19,801 2019,-84.46,30.1,florida,Wakulla,"G.F.& A. Trail, Hilliardville, Wakulla County, Florida, 32358, United States",0.277303419,0.259646203,0.938457475,0,801,0.398630421,0.190662494,0.186229031,0.743218628,0.408437437,0.885044597,0.518432901,0.129421163,0.854220424,0.40059836,0.30250469,0.2876246,0.146000488,0.800963082,0.6,0.764705882,0.262047819,0.567567568,0.733333333,0.672064777,0.742268041,14,0.182765147,0,0,0,0,0,0,0,1,0,0,65
20,20,801 2019,-86.91,30.55,florida,Santa Rosa,"Eglin Air Force Base, Santa Rosa County, Florida, United States",0.180379408,0.394719098,0.870575806,0,801,0.398630421,0.190662494,0.122567737,0.650921144,0.2619559,0.956895238,0.437246984,0.108158434,0.861821746,0.404097129,0.224249858,0.29091042,0.087630423,0.88282504,0.463157895,0.852941176,0.122135782,0.463320463,0.866666667,0.562753036,0.821305842,6,0.61740449,0,0,0,1,0,0,0,0,0,0,55
21,21,801 2019,-84.56,30,florida,Franklin,"Franklin County, Florida, United States",0.291022114,0.452047433,0.940771263,0,801,0.398630421,0.190662494,0.210727887,0.680324593,0.363470118,0.861467676,0.422993358,0.158867059,0.813443757,0.347410588,0.332430161,0.314463005,0.17166502,0.773675762,0.557894737,0.75,0.28484604,0.594594595,0.742857143,0.647773279,0.718213058,14,0.044327059,0,0,0,0,0,0,0,1,0,0,18
22,22,801 2019,-84.56,30.3,florida,Wakulla,"Wakulla County, Florida, United States",0.211425101,0.220626238,0.830670893,0,801,0.398630421,0.190662494,0.141723776,0.803830614,0.443175269,0.907700143,0.560158545,0.087131912,0.898908182,0.329419038,0.259530925,0.220777525,0.113944067,0.797752809,0.536842105,0.779411765,0.218190234,0.501930502,0.723809524,0.603238866,0.76975945,14,0.200699296,0,0,0,0,0,0,0,1,0,0,65
23,23,801 2019,-86.76,30.45,florida,Okaloosa,"Okaloosa County, Florida, United States",0.286806474,0.156495478,0.992361331,0,801,0.398630421,0.190662494,0.155335721,0.598150983,0.226480203,0.943049239,0.365104978,0.138918263,0.823235551,0.461063571,0.267767786,0.344409666,0.11187209,0.895666132,0.484210526,0.897058824,0.135236317,0.486486486,0.880952381,0.587044534,0.828178694,14,0.595535317,0,0,0,0,0,0,0,1,0,0,46
24,24,801 2019,-84.71,30.1,florida,Liberty,"Liberty County, Florida, United States",0.211246472,0.173116667,0.911695721,0,801,0.398630421,0.190662494,0.171406777,0.746197167,0.410769415,0.882765243,0.478808077,0.12122046,0.855942439,0.275724292,0.292059298,0.255212921,0.142048729,0.7929374,0.547368421,0.779411765,0.247486934,0.548262548,0.757142857,0.619433198,0.756013746,14,0.295698366,0,0,0,0,0,0,0,1,0,0,38
25,25,801 2019,-84.51,30,florida,Wakulla,"Curtis Mill Road, Curtis Mill, Wakulla County, Florida, 32358, United States",0.337822872,0.197113118,0.959101955,0,801,0.398630421,0.190662494,0.210727887,0.680324593,0.363470118,0.861467676,0.422993358,0.158867059,0.813443757,0.347410588,0.332430161,0.314463005,0.17166502,0.773675762,0.557894737,0.75,0.28484604,0.594594595,0.742857143,0.647773279,0.718213058,14,0.031343964,0,0,0,0,0,0,0,1,0,0,65
26,26,801 2019,-85.01,29.85,florida,Franklin,"Franklin County, Florida, United States",0.188096174,0.345191176,0.930512414,0,801,0.398630421,0.190662494,0.21506843,0.614547036,0.317335087,0.839720135,0.328772771,0.193535588,0.768075517,0.350414431,0.341043239,0.301075138,0.18796197,0.828250401,0.631578947,0.735294118,0.305021389,0.691119691,0.842857143,0.684210526,0.762886598,2,0.031343964,0,1,0,0,0,0,0,0,0,0,18
27,27,801 2019,-87.31,30.7,florida,Escambia,"Main Street, Molino, Escambia County, Florida, United States",0.20535172,0.036857823,0.897812995,0,801,0.398630421,0.190662494,0.087979735,0.756836117,0.35410105,0.972283319,0.582877757,0.071247251,0.916719189,0.334116193,0.181735701,0.225188793,0.060354499,0.97752809,0.442105263,0.867647059,0.075703037,0.463320463,0.971428571,0.562753036,0.927835052,14,0.588899619,0,0,0,0,0,0,0,1,0,0,16
28,28,801 2019,-85.01,29.9,florida,Franklin,"Franklin County, Florida, United States",0.193990926,0.213519494,0.911304807,0,801,0.398630421,0.190662494,0.21506843,0.614547036,0.317335087,0.839720135,0.328772771,0.193535588,0.768075517,0.350414431,0.341043239,0.301075138,0.18796197,0.828250401,0.631578947,0.735294118,0.305021389,0.691119691,0.842857143,0.684210526,0.762886598,2,0.088654118,0,1,0,0,0,0,0,0,0,0,18
29,29,801 2019,-84.51,30.3,florida,Wakulla,"Forest Road 309, Wakulla County, Florida, United States",0.216783966,0.364788427,0.910956154,0,801,0.398630421,0.190662494,0.141723776,0.803830614,0.443175269,0.907700143,0.560158545,0.087131912,0.898908182,0.329419038,0.259530925,0.220777525,0.113944067,0.797752809,0.536842105,0.779411765,0.218190234,0.501930502,0.723809524,0.603238866,0.76975945,14,0.198236635,0,0,0,0,0,0,0,1,0,0,65
30,30,801 2019,-84.56,30.1,florida,Wakulla,"Forest Road 345, Wakulla County, Florida, United States",0.295880819,0.232543908,0.914558901,0,801,0.398630421,0.190662494,0.177674589,0.738758497,0.406353649,0.877682509,0.480482343,0.127460861,0.850487765,0.279712425,0.297994948,0.259927964,0.146945137,0.797752809,0.568421053,0.794117647,0.250649063,0.544401544,0.752380952,0.643724696,0.749140893,14,0.159823484,0,0,0,0,0,0,0,1,0,0,65
31,31,801 2019,-85.06,29.9,florida,Gulf,"Getaway Circle, Gulf County, Florida, United States",0.203279626,0.257005788,0.919503434,0,801,0.398630421,0.190662494,0.21506843,0.614547036,0.317335087,0.839720135,0.328772771,0.193535588,0.768075517,0.350414431,0.341043239,0.301075138,0.18796197,0.828250401,0.631578947,0.735294118,0.305021389,0.691119691,0.842857143,0.684210526,0.762886598,14,0.094031892,0,0,0,0,0,0,0,1,0,0,22
32,32,801 2019,-86.51,30.65,florida,Okaloosa,"Okaloosa County, Florida, United States",0.269765282,0.250418176,0.713069202,0,801,0.398630421,0.190662494,0.091654445,0.708907698,0.311628873,0.970208296,0.42624923,0.072048163,0.893194752,0.31484099,0.213088029,0.207086753,0.062272599,0.906902087,0.442105263,0.823529412,0.115391406,0.459459459,0.89047619,0.558704453,0.862542955,6,0.265962354,0,0,0,1,0,0,0,0,0,0,46
33,33,801 2019,-86.51,30.7,florida,Okaloosa,"Ruth Lane, Okaloosa County, Florida, United States",0.250651995,0.275148572,0.829117802,0,801,0.398630421,0.190662494,0.060532237,0.769347993,0.360160242,0.979152921,0.516812953,0.049389202,0.927064529,0.250497011,0.171570782,0.146658995,0.042397191,0.884430177,0.357894737,0.764705882,0.081424552,0.382239382,0.9,0.477732794,0.89347079,5,0.200699296,0,0,1,0,0,0,0,0,0,0,46
34,34,801 2019,-84.61,30.1,florida,Wakulla,"Wakulla County, Florida, United States",0.289307277,0.051456186,0.888314844,0,801,0.398630421,0.190662494,0.177674589,0.738758497,0.406353649,0.877682509,0.480482343,0.127460861,0.850487765,0.279712425,0.297994948,0.259927964,0.146945137,0.797752809,0.568421053,0.794117647,0.250649063,0.544401544,0.752380952,0.643724696,0.749140893,14,0.19065789,0,0,0,0,0,0,0,1,0,0,65
35,35,801 2019,-85.06,29.85,florida,Gulf,"Sauls Creek Road, Gulf County, Florida, United States",0.194705441,0.392177139,0.933312203,0,801,0.398630421,0.190662494,0.21506843,0.614547036,0.317335087,0.839720135,0.328772771,0.193535588,0.768075517,0.350414431,0.341043239,0.301075138,0.18796197,0.828250401,0.631578947,0.735294118,0.305021389,0.691119691,0.842857143,0.684210526,0.762886598,14,0.044327059,0,0,0,0,0,0,0,1,0,0,22
36,36,801 2019,-85.26,29.75,florida,Gulf,"Gulf County, Florida, United States",0.167768211,0.143955744,0.806846276,0,801,0.398630421,0.190662494,0.251409751,0.485388099,0.201198096,0.821264175,0.140271686,0.245571575,0.693128471,0.429906456,0.659068444,0.363667619,0.216395247,0.791332263,0.663157895,0.676470588,0.335279733,0.71042471,0.814285714,0.668016194,0.704467354,14,0.346205399,0,0,0,0,0,0,0,1,0,0,22
37,37,801 2019,-85.01,30.85,florida,Jackson,"Messer Road, Jackson County, Florida, 32460, United States",0.149530206,0.18811333,0.783613312,0,801,0.398630421,0.190662494,0.092720188,0.897044673,0.455161671,1,0.83960118,0.020957048,1,0.362481708,0.711188156,0.251827873,0.041272307,0.553772071,0.052631579,0.514705882,0.079939957,0.054054054,0.666666667,0.133603239,0.862542955,2,0.070087234,0,1,0,0,0,0,0,0,0,0,31
38,38,801 2019,-84.76,30.1,florida,Liberty,"Hays Road, Liberty County, Florida, United States",0.206780751,0.231796536,0.883317485,0,801,0.398630421,0.190662494,0.171406777,0.746197167,0.410769415,0.882765243,0.478808077,0.12122046,0.855942439,0.275724292,0.292059298,0.255212921,0.142048729,0.7929374,0.547368421,0.779411765,0.247486934,0.548262548,0.757142857,0.619433198,0.756013746,14,0.357376175,0,0,0,0,0,0,0,1,0,0,38
39,39,801 2019,-84.81,29.85,florida,Franklin,"Ralph's Road, Franklin County, Florida, United States",0.158908221,0.281378162,0.923127311,0,801,0.398630421,0.190662494,0.208289931,0.659318704,0.344666535,0.859025132,0.385416634,0.164869822,0.80249419,0.343166651,0.331842401,0.306076548,0.172532948,0.760834671,0.536842105,0.735294118,0.288581808,0.602316602,0.761904762,0.623481781,0.711340206,14,0.182226809,0,0,0,0,0,0,0,1,0,0,18
40,40,801 2019,-85.11,29.9,florida,Gulf,"Gulf County, Florida, United States",0.210853489,0.166833375,0.936354992,0,801,0.398630421,0.190662494,0.21506843,0.614547036,0.317335087,0.839720135,0.328772771,0.193535588,0.768075517,0.350414431,0.341043239,0.301075138,0.18796197,0.828250401,0.631578947,0.735294118,0.305021389,0.691119691,0.842857143,0.684210526,0.762886598,14,0.140174469,0,0,0,0,0,0,0,1,0,0,22
41,41,801 2019,-83.96,30.3,florida,Jefferson,"Jefferson County, Florida, United States",0.177771427,0.347871869,0.892202853,0,801,0.398630421,0.190662494,0.156559547,0.849912734,0.498240093,0.876392584,0.638369764,0.089100807,0.908491902,0.305203851,0.273532851,0.198036167,0.132236885,0.688603531,0.484210526,0.544117647,0.255480891,0.482625483,0.638095238,0.582995951,0.75257732,14,0.379507974,0,0,0,0,0,0,0,1,0,0,32
42,42,801 2019,-84.61,30.3,florida,Wakulla,"Forest Rd 344, Wakulla County, Florida, United States",0.207816798,0.219310506,0.877876387,0,801,0.398630421,0.190662494,0.141723776,0.803830614,0.443175269,0.907700143,0.560158545,0.087131912,0.898908182,0.329419038,0.259530925,0.220777525,0.113944067,0.797752809,0.536842105,0.779411765,0.218190234,0.501930502,0.723809524,0.603238866,0.76975945,14,0.226024539,0,0,0,0,0,0,0,1,0,0,65
43,43,801 2019,-86.91,30.8,florida,Santa Rosa,"Blue Trail, Santa Rosa County, Florida, United States",0.176842557,0.101400308,0.886962493,0,801,0.398630421,0.190662494,0.069996982,0.753143409,0.342887502,0.975269432,0.523513211,0.056146857,0.921868959,0.281008128,0.172949821,0.175313089,0.048765603,0.886035313,0.410526316,0.75,0.099317534,0.413127413,0.866666667,0.510121457,0.869415808,14,0.478444847,0,0,0,0,0,0,0,1,0,0,55
44,44,801 2019,-86.81,30.45,florida,Santa Rosa,"Eglin Air Force Base, Santa Rosa County, Florida, 32566, United States",0.297006181,0.153855063,0.908695193,0,801,0.398630421,0.190662494,0.155335721,0.598150983,0.226480203,0.943049239,0.365104978,0.138918263,0.823235551,0.461063571,0.267767786,0.344409666,0.11187209,0.895666132,0.484210526,0.897058824,0.135236317,0.486486486,0.880952381,0.587044534,0.828178694,14,0.630005881,0,0,0,0,0,0,0,1,0,0,55
45,45,801 2019,-84.36,30.1,florida,Wakulla,"Jack Crum Road, Tully, Wakulla County, Florida, 32327, United States",0.248365546,0.080460474,0.886001057,0,801,0.398630421,0.190662494,0.186229031,0.743218628,0.408437437,0.885044597,0.518432901,0.129421163,0.854220424,0.40059836,0.30250469,0.2876246,0.146000488,0.800963082,0.6,0.764705882,0.262047819,0.567567568,0.733333333,0.672064777,0.742268041,5,0.283831666,0,0,1,0,0,0,0,0,0,0,65
46,46,801 2019,-86.66,30.65,florida,Okaloosa,"Okaloosa County, Florida, United States",0.29452324,0.274772649,0.690058109,0,801,0.398630421,0.190662494,0.091654445,0.708907698,0.311628873,0.970208296,0.42624923,0.072048163,0.893194752,0.31484099,0.213088029,0.207086753,0.062272599,0.906902087,0.442105263,0.823529412,0.115391406,0.459459459,0.89047619,0.558704453,0.862542955,6,0.282095677,0,0,0,1,0,0,0,0,0,0,46
47,47,801 2019,-86.36,30.7,florida,Walton,"Walton County, Florida, United States",0.21742703,0.202478978,0.862546223,0,801,0.398630421,0.190662494,0.045199002,0.808870123,0.391673225,0.986169601,0.535659626,0.02888267,0.948532289,0.208382958,0.16083415,0.107108165,0.028619448,0.887640449,0.347368421,0.764705882,0.076830893,0.374517375,0.914285714,0.469635628,0.907216495,6,0.346205399,0,0,0,1,0,0,0,0,0,0,66
48,48,801 2019,-85.66,30.3,florida,Bay,"Gulf Coast State College North Bay Campus, CR 2300, Lansing Smith Electric Generating Plant, Bay County, Florida, 32409, United States",0.24715087,0.314880106,0.751220285,0,801,0.398630421,0.190662494,0.158706605,0.730291553,0.370851121,0.905000128,0.497076426,0.109397546,0.869396797,0.370001048,0.299816283,0.258889558,0.127936435,0.897271268,0.663157895,0.779411765,0.248400867,0.637065637,0.833333333,0.744939271,0.83161512,14,0.150972523,0,0,0,0,0,0,0,1,0,0,3
49,49,801 2019,-84.21,30.3,florida,Leon,"Natural Bridge Road, Leon County, Florida, 32305-2017, United States",0.128719946,0.394911535,0.942736397,0,801,0.398630421,0.190662494,0.160333868,0.83736694,0.472531585,0.909426843,0.64140517,0.08282702,0.914662396,0.376047662,0.267546532,0.264568152,0.120640308,0.802568218,0.578947368,0.676470588,0.238127095,0.544401544,0.719047619,0.647773279,0.776632302,14,0.171104745,0,0,0,0,0,0,0,1,0,0,36
50,50,801 2019,-84.96,29.85,florida,Franklin,"North Shore Bay Road, Hays Place, Franklin County, Florida, United States",0.180129327,0.150829774,0.894463814,0,801,0.398630421,0.190662494,0.206720554,0.644875899,0.333268612,0.855475566,0.361543968,0.170809889,0.793596067,0.34215363,0.330518677,0.300866238,0.174679899,0.778491172,0.557894737,0.735294118,0.286327728,0.621621622,0.8,0.615384615,0.738831615,6,0.099118317,0,0,0,1,0,0,0,0,0,0,18
51,51,801 2019,-85.56,30.3,florida,Bay,"Bay Head Road, Bay County, Florida, 32466, United States",0.257154085,0.258017201,0.751938722,0,801,0.398630421,0.190662494,0.158706605,0.730291553,0.370851121,0.905000128,0.497076426,0.109397546,0.869396797,0.370001048,0.299816283,0.258889558,0.127936435,0.897271268,0.663157895,0.779411765,0.248400867,0.637065637,0.833333333,0.744939271,0.83161512,2,0.188063784,0,1,0,0,0,0,0,0,0,0,3
52,52,801 2019,-84.66,30.1,florida,Liberty,"Liberty County, Florida, United States",0.246436355,0.406887384,0.986413101,0,801,0.398630421,0.190662494,0.177674589,0.738758497,0.406353649,0.877682509,0.480482343,0.127460861,0.850487765,0.279712425,0.297994948,0.259927964,0.146945137,0.797752809,0.568421053,0.794117647,0.250649063,0.544401544,0.752380952,0.643724696,0.749140893,14,0.238708519,0,0,0,0,0,0,0,1,0,0,38
53,53,801 2019,-85.41,30.25,florida,Bay,"Bay County, Florida, United States",0.254170984,0.191004361,0.715002641,0,801,0.398630421,0.190662494,0.126852745,0.767899878,0.408823773,0.90804178,0.455668701,0.086881607,0.883931048,0.288195665,0.262168874,0.182063164,0.107758685,0.908507223,0.705263158,0.808823529,0.259739362,0.66023166,0.828571429,0.769230769,0.835051546,14,0.323617891,0,0,0,0,0,0,0,1,0,0,3
54,54,801 2019,-84.86,30.7,florida,Gadsden,"Jackson County, Florida, 32324, United States",0.141045336,0.446618918,0.909022715,0,801,0.398630421,0.190662494,0.117211404,0.828755372,0.428486868,0.949942326,0.754374978,0.071864627,0.941112189,0.352621204,0.237231756,0.242567518,0.080981139,0.589085072,0.115789474,0.573529412,0.096321936,0.131274131,0.642857143,0.214574899,0.81443299,2,0.140873598,0,1,0,0,0,0,0,0,0,0,19
55,55,801 2019,-86.61,30.55,florida,Okaloosa,"Range Rd 236, Okaloosa County, Florida, 32579, United States",0.319674181,-0.01612054,0.827374538,0,801,0.398630421,0.190662494,0.091654445,0.708907698,0.311628873,0.970208296,0.42624923,0.072048163,0.893194752,0.31484099,0.213088029,0.207086753,0.062272599,0.906902087,0.442105263,0.823529412,0.115391406,0.459459459,0.89047619,0.558704453,0.862542955,2,0.396473269,0,1,0,0,0,0,0,0,0,0,46
56,56,801 2019,-84.96,29.9,florida,Franklin,"Franklin County, Florida, United States",0.186559966,0.242125482,0.91385103,0,801,0.398630421,0.190662494,0.206720554,0.644875899,0.333268612,0.855475566,0.361543968,0.170809889,0.793596067,0.34215363,0.330518677,0.300866238,0.174679899,0.778491172,0.557894737,0.735294118,0.286327728,0.621621622,0.8,0.615384615,0.738831615,6,0.129234475,0,0,0,1,0,0,0,0,0,0,18
57,57,801 2019,-84.41,30.6,florida,Gadsden,"1, Antler Drive, Gadsden County, Florida, 32333, United States",0.178092959,0.167370408,0.907490755,0,801,0.398630421,0.190662494,0.102542532,0.848915947,0.459327434,0.928447285,0.629784359,0.054044472,0.939253589,0.264082429,0.2229255,0.159417552,0.082563641,0.709470305,0.336842105,0.647058824,0.153788899,0.324324324,0.676190476,0.417004049,0.807560137,14,0.115590828,0,0,0,0,0,0,0,1,0,0,19
58,58,801 2019,-85.06,30.95,florida,Jackson,"Neals Landing Road, Bascom, Jackson County, Florida, 32423, United States",0.160623058,0.186645438,0.827131537,0,801,0.398630421,0.190662494,0.092720188,0.897044673,0.455161671,1,0.83960118,0.020957048,1,0.362481708,0.711188156,0.251827873,0.041272307,0.553772071,0.052631579,0.514705882,0.079939957,0.054054054,0.666666667,0.133603239,0.862542955,2,0.19065789,0,1,0,0,0,0,0,0,0,0,31
59,59,801 2019,-84.31,30.1,florida,Wakulla,"Saint Marks National Wildlife Refuge Trail, Wakulla County, Florida, United States",0.241399021,0.274705519,0.944638141,0,801,0.398630421,0.190662494,0.187929753,0.747252289,0.409500179,0.890153387,0.56592262,0.132565264,0.858260312,0.409419891,0.303228411,0.295909219,0.143441393,0.789727127,0.6,0.691176471,0.266285199,0.571428571,0.70952381,0.67611336,0.749140893,14,0.344783605,0,0,0,0,0,0,0,1,0,0,65
