,exlid,lookup,id,x,y,presence,gen_spe,genus_full,xy,index,year,tmax,prcp,dtw,location,PHDI_average,palmer_z_average,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,landcover,ndvi,ambam,ambma,derva,ixoaf,ixosc,rhisa,landcover_1,landcover_2,landcover_5,landcover_6,landcover_7,landcover_14,landcover_15,landcover_16,landcover_18,species,genus
884,1627,805 2012,1848,-82.07701785,26.43341677,0,Ixodes affinis,Ixodes,-82.07701785 26.43341677,375,0.995544595,0.806444389,0.73348201,0.362487191,805,0.420107906,0.56390193,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.766497623,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3
887,1630,805 2012,1827,-82.07701785,26.43341677,0,Ixodes scapularis,Ixodes,-82.07701785 26.43341677,375,0.995544595,0.806444389,0.488995354,0.362487191,805,0.420107906,0.56390193,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.766497623,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,3
890,1633,805 2012,1753,-82.07745333,26.43412,0,Dermacentor variabilis,Dermacentor,-82.07745333 26.43412,190,0.995544595,0.806444389,0.380434307,0.363441497,805,0.420107906,0.56390193,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.766497623,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
897,1370,804 2020,1740,-82.6721716,27.4363305,0,Dermacentor variabilis,Dermacentor,-82.6721716 27.4363305,556,0.999504955,0.489371222,0.617294773,0.236987694,804,0.423739365,0.57198748,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
901,1374,804 2020,1213,-82.6721716,27.4363305,0,Amblyomma americanum,Amblyomma,-82.6721716 27.4363305,556,0.999504955,0.605057057,0.458490597,0.236987694,804,0.423739365,0.57198748,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
996,758,802 2019,942,-81.4,30.5,0,Amblyomma americanum,Amblyomma,-81.4 30.5,5,0.99900991,0.580666813,0.518602912,0.115590829,802,0.46244034,0.336463224,0.297684779,0.383269799,0.057054702,0.75959683,0.253296613,0.287489999,0.671299081,0.418974541,0.09221179,0.35295193,0.259265156,0.37399679,0.368421053,0.382352941,0.362406398,0.301158301,0.476190476,0.198380567,0.426116838,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1011,773,802 2019,1052,-81.4,30.5,0,Dermacentor variabilis,Dermacentor,-81.4 30.5,115,0.99900991,0.606623402,0.559874054,0.115590829,802,0.46244034,0.336463224,0.297684779,0.383269799,0.057054702,0.75959683,0.253296613,0.287489999,0.671299081,0.418974541,0.09221179,0.35295193,0.259265156,0.37399679,0.368421053,0.382352941,0.362406398,0.301158301,0.476190476,0.198380567,0.426116838,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1017,779,802 2019,1099,-81.4,30.5,0,Ixodes scapularis,Ixodes,-81.4 30.5,162,0.99900991,0.632579992,0.474640174,0.115590829,802,0.46244034,0.336463224,0.297684779,0.383269799,0.057054702,0.75959683,0.253296613,0.287489999,0.671299081,0.418974541,0.09221179,0.35295193,0.259265156,0.37399679,0.368421053,0.382352941,0.362406398,0.301158301,0.476190476,0.198380567,0.426116838,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,3
1054,618,802 2015,1505,-81.39774289,30.38385771,0,Amblyomma americanum,Amblyomma,-81.39774289 30.38385771,650,0.99702973,0.27657194,0.617294773,0.019217939,802,0.464204192,0.368022953,0.297684779,0.383269799,0.057054702,0.75959683,0.253296613,0.287489999,0.671299081,0.418974541,0.09221179,0.35295193,0.259265156,0.37399679,0.368421053,0.382352941,0.362406398,0.301158301,0.476190476,0.198380567,0.426116838,16,0.524152139,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1109,1779,805 2020,1270,-80.30270858,25.52981092,0,Amblyomma americanum,Amblyomma,-80.30270858 25.52981092,470,0.999504955,0.745804425,0.654079921,0.350320257,805,0.473853497,0.705529473,0.873049407,0.290986845,0.642224856,0.047981537,0.211271422,0.808826809,0.189133569,0.758995542,0.718484899,0.711566782,0.900654385,0.645264848,0.957894737,0.014705882,0.797128297,0.745173745,0.057142857,0.728744939,0.041237113,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1165,173,801 2016,1534,-87.48362369,30.20408004,0,Amblyomma americanum,Amblyomma,-87.48362369 30.20408004,405,0.997524775,0.180577313,0.638827543,0.219645234,801,0.487341772,0.446791862,0.204736869,0.443169937,0.093655144,0.904841737,0.252751835,0.227502563,0.725996354,0.5589568,0.302983723,0.436344738,0.15814755,0.90529695,0.442105263,0.955882353,0.10403228,0.455598456,0.928571429,0.55465587,0.804123711,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1169,177,801 2016,1323,-85.40358361,29.76438232,0,Amblyomma americanum,Amblyomma,-85.40358361 29.76438232,337,0.997524775,0.276348177,0.755014779,0.53428864,801,0.487341772,0.446791862,0.313950649,0.284706545,0,0.783256204,0.032113794,0.359556732,0.573305355,0.592088059,0.671799637,0.474374082,0.274305776,0.818619583,0.684210526,0.676470588,0.337651072,0.737451737,0.828571429,0.708502024,0.718213058,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1188,1354,804 2019,1694,-82.83148595,28.07921212,0,Dermacentor variabilis,Dermacentor,-82.83148595 28.07921212,560,0.99900991,0.570373682,0.707911846,0.148659578,804,0.488068064,0.536254565,0.586854196,0.552331152,0.519239865,0.495753617,0.543756169,0.468620035,0.548171775,0.771841357,0.722429895,0.659627324,0.536806895,0.404494382,0.642105263,0.205882353,0.607292969,0.602316602,0.39047619,0.607287449,0.364261168,16,0.357474908,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1211,1559,805 2004,1555,-82.038004,26.454413,0,Amblyomma maculatum,Amblyomma,-82.038004 26.454413,542,0.991584236,0.642649358,0.543724477,0.327793068,805,0.496576053,0.472352634,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.580475436,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1212,1560,805 2004,1847,-82.038004,26.454413,0,Ixodes affinis,Ixodes,-82.038004 26.454413,542,0.991584236,0.642649358,0.73348201,0.327793068,805,0.496576053,0.472352634,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.580475436,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3
1214,1858,806 2018,1304,-80.15525,25.673575,0,Amblyomma americanum,Amblyomma,-80.15525 25.673575,369,0.998514865,0.729469674,0.503799133,0.592805174,806,0.498754928,0.362545644,0.857062681,0.098320521,0.35476966,0.05766669,0,0.880000496,0.093397619,0.767058933,0.708885255,0.702879163,0.892717,0.674157303,0.884210526,0.132352941,0.699547919,0.675675676,0.152380952,0.67611336,0.109965636,16,0.356608558,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1248,1729,805 2018,1733,-82.0800505,26.43368969,0,Dermacentor variabilis,Dermacentor,-82.0800505 26.43368969,237,0.998514865,0.786081892,0.631649953,0.366538932,805,0.501867607,0.39019301,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.705736926,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1333,1832,806 2012,1822,-80.24698455,25.54857576,0,Ixodes scapularis,Ixodes,-80.24698455 25.54857576,324,0.995544595,0.728350857,0.607874186,0.386698363,806,0.55478315,0.714397496,0.873049407,0.290986845,0.642224856,0.047981537,0.211271422,0.808826809,0.189133569,0.758995542,0.718484899,0.711566782,0.900654385,0.645264848,0.957894737,0.014705882,0.797128297,0.745173745,0.057142857,0.728744939,0.041237113,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,3
1334,1833,806 2012,1677,-80.24698455,25.54857576,0,Dermacentor variabilis,Dermacentor,-80.24698455 25.54857576,324,0.995544595,0.728350857,0.607425587,0.386698363,806,0.55478315,0.714397496,0.873049407,0.290986845,0.642224856,0.047981537,0.211271422,0.808826809,0.189133569,0.758995542,0.718484899,0.711566782,0.900654385,0.645264848,0.957894737,0.014705882,0.797128297,0.745173745,0.057142857,0.728744939,0.041237113,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1337,1836,806 2012,1389,-80.24698455,25.54857576,0,Amblyomma americanum,Amblyomma,-80.24698455 25.54857576,324,0.995544595,0.745804425,0.434714831,0.386698363,806,0.55478315,0.714397496,0.873049407,0.290986845,0.642224856,0.047981537,0.211271422,0.808826809,0.189133569,0.758995542,0.718484899,0.711566782,0.900654385,0.645264848,0.957894737,0.014705882,0.797128297,0.745173745,0.057142857,0.728744939,0.041237113,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1363,1282,804 2015,1747,-82.68009484,27.43364857,0,Dermacentor variabilis,Dermacentor,-82.68009484 27.43364857,345,0.99702973,0.664354438,0.709257644,0.248626593,804,0.567026354,0.553208138,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1371,1290,804 2015,1572,-82.684078,27.468417,0,Amblyomma maculatum,Amblyomma,-82.684078 27.468417,66,0.99702973,0.658089054,0.523088906,0.237266711,804,0.567026354,0.553208138,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0.174527205,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1431,1263,804 2014,1679,-82.83020763,28.06870486,0,Dermacentor variabilis,Dermacentor,-82.83020763 28.06870486,557,0.996534685,0.334302976,0.875688009,0.151925185,804,0.579373314,0.741262389,0.586854196,0.552331152,0.519239865,0.495753617,0.543756169,0.468620035,0.548171775,0.771841357,0.722429895,0.659627324,0.536806895,0.404494382,0.642105263,0.205882353,0.607292969,0.602316602,0.39047619,0.607287449,0.364261168,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
1452,1185,804 2002,1649,-82.52752528,27.86917955,0,Amblyomma maculatum,Amblyomma,-82.52752528 27.86917955,400,0.990594146,0.542403219,0.49168695,0.138121979,804,0.58642872,0.826812728,0.623992399,0.518458513,0.519111147,0.463325066,0.453165291,0.496922262,0.509145021,0.807772552,0.755185644,0.695148996,0.571157076,0.330658106,0.568421053,0.161764706,0.670209781,0.55984556,0.271428571,0.619433198,0.29209622,16,0.682514527,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1453,1186,804 2002,1308,-82.52752528,27.86917955,0,Amblyomma americanum,Amblyomma,-82.52752528 27.86917955,400,0.990594146,0.542403219,0.572883436,0.138121979,804,0.58642872,0.826812728,0.623992399,0.518458513,0.519111147,0.463325066,0.453165291,0.496922262,0.509145021,0.807772552,0.755185644,0.695148996,0.571157076,0.330658106,0.568421053,0.161764706,0.670209781,0.55984556,0.271428571,0.619433198,0.29209622,16,0.682514527,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1500,137,801 2010,1455,-87.29031745,30.326663,0,Amblyomma americanum,Amblyomma,-87.29031745 30.326663,252,0.994554505,0.119042294,0.487200957,0.485230866,801,0.594729197,0.397235264,0.226267688,0.439841495,0.087524341,0.906755969,0.323748375,0.238085983,0.726663934,0.63670454,0.32767763,0.509360452,0.171926602,0.913322632,0.473684211,0.926470588,0.116870826,0.482625483,0.942857143,0.582995951,0.807560137,16,0.145335446,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1600,1298,804 2016,1376,-82.684136,27.468503,0,Amblyomma americanum,Amblyomma,-82.684136 27.468503,74,0.997524775,0.630789881,0.425742843,0.237315945,804,0.667047105,0.672926448,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0.16661384,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1615,1313,804 2016,1559,-82.684136,27.468503,0,Amblyomma maculatum,Amblyomma,-82.684136 27.468503,74,0.997524775,0.630789881,0.51277112,0.237315945,804,0.667047105,0.672926448,0.621136903,0.384896787,0.396534973,0.427787409,0.36929224,0.575217334,0.425445737,0.777622898,0.482917405,0.641701977,0.590331787,0.34670947,0.768421053,0.073529412,0.795734304,0.706563707,0.219047619,0.817813765,0.240549828,16,0.16661384,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1672,9,801 1994,1202,-84.17932935,30.07421641,0,Amblyomma americanum,Amblyomma,-84.17932935 30.07421641,308,0.986633786,0.294473036,0.606079789,0.453270462,801,0.727951857,1,0.187929752,0.74725229,0.409500179,0.890153387,0.565922621,0.132565264,0.858260312,0.409419889,0.303228411,0.295909217,0.143441393,0.789727127,0.6,0.691176471,0.266285199,0.571428571,0.70952381,0.67611336,0.749140893,16,0.875895404,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1828,80,801 2003,1602,-86.42620833,30.49851667,0,Amblyomma maculatum,Amblyomma,-86.42620833 30.49851667,635,0.991089191,0.078093537,0.427537241,0.453543823,801,0.8286989,0.786906625,0.149004734,0.604175678,0.222962746,0.951416012,0.407782781,0.133508657,0.834385869,0.451417163,0.278832817,0.335350376,0.106531332,0.906902087,0.484210526,0.852941176,0.147241892,0.505791506,0.871428571,0.607287449,0.838487973,16,0.844955098,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1829,81,801 2003,1276,-86.42620833,30.49851667,0,Amblyomma americanum,Amblyomma,-86.42620833 30.49851667,635,0.991089191,0.078093537,0.440098023,0.453543823,801,0.8286989,0.786906625,0.149004734,0.604175678,0.222962746,0.951416012,0.407782781,0.133508657,0.834385869,0.451417163,0.278832817,0.335350376,0.106531332,0.906902087,0.484210526,0.852941176,0.147241892,0.505791506,0.871428571,0.607287449,0.838487973,16,0.844955098,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1,1109,803 2021,839,-82.33708757,28.6436582,1,Amblyomma americanum,Amblyomma,-82.33708757 28.6436582,307,1,0.386831506,0.647350931,0.131639172,803,0.374974061,0.392279604,0.44843049,0.811438103,0.733006678,0.535974518,0.649990575,0.322014265,0.697501974,0.458816019,0.60569341,0.342298909,0.440537955,0.443017657,0.547368421,0.352941176,0.55703247,0.575289575,0.342857143,0.680161943,0.39862543,6,0.925346012,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2,1110,803 2021,882,-80.850555,28.60089167,1,Dermacentor variabilis,Dermacentor,-80.850555 28.60089167,356,1,0.864846716,0.478228969,0.031241505,803,0.374974061,0.392279604,0.501362664,0.673573134,0.609404565,0.441542384,0.551049134,0.382516027,0.627857441,0.440432423,0.378515629,0.325034209,0.509369676,0.37399679,0.336842105,0.294117647,0.542774942,0.463320463,0.328571429,0.562753036,0.243986254,7,0.801172742,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2
3,1111,803 2021,841,-82.37880419,28.45259371,1,Amblyomma americanum,Amblyomma,-82.37880419 28.45259371,310,1,0.372230924,0.647350931,0.075386302,803,0.374974061,0.392279604,0.490220996,0.809179036,0.744212613,0.516807599,0.685065487,0.33798234,0.688025198,0.541727103,0.640297097,0.420163706,0.471437895,0.422150883,0.547368421,0.308823529,0.570514416,0.55984556,0.338095238,0.663967611,0.384879725,6,0.870036978,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
6,1114,803 2021,891,-80.895395,28.632625,1,Dermacentor variabilis,Dermacentor,-80.895395 28.632625,365,1,0.656970236,0.519051512,0.031816722,803,0.374974061,0.392279604,0.501362664,0.673573134,0.609404565,0.441542384,0.551049134,0.382516027,0.627857441,0.440432423,0.378515629,0.325034209,0.509369676,0.37399679,0.336842105,0.294117647,0.542774942,0.463320463,0.328571429,0.562753036,0.243986254,6,0.837189646,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2
9,1117,803 2021,836,-81.30742009,28.6435425,1,Amblyomma americanum,Amblyomma,-81.30742009 28.6435425,302,1,0.362385321,0.645556534,0.006142976,803,0.374974061,0.392279604,0.543385888,0.75903486,0.692080573,0.470408684,0.837193624,0.38411785,0.668035459,0.630569878,0.388971156,0.503599169,0.52309793,0.293739968,0.315789474,0.25,0.625330292,0.467181467,0.204761905,0.566801619,0.223367698,2,0.520116218,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10,1118,803 2021,847,-81.26745142,28.47898707,1,Amblyomma americanum,Amblyomma,-81.26745142 28.47898707,317,1,0.443164018,0.467013985,0.096768225,803,0.374974061,0.392279604,0.542654236,0.724791326,0.684375599,0.44556018,0.690508447,0.395580821,0.636222127,0.576712938,0.399463417,0.453020169,0.533935506,0.284109149,0.326315789,0.191176471,0.660749803,0.501930502,0.20952381,0.603238866,0.209621993,2,0.658806128,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
13,1121,803 2021,909,-81.1848433,28.590085,1,Amblyomma americanum,Amblyomma,-81.1848433 28.590085,393,1,0.505482209,0.635687347,0.105827795,803,0.374974061,0.392279604,0.543385888,0.75903486,0.692080573,0.470408684,0.837193624,0.38411785,0.668035459,0.630569878,0.388971156,0.503599169,0.52309793,0.293739968,0.315789474,0.25,0.625330292,0.467181467,0.204761905,0.566801619,0.223367698,2,0.81276281,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
14,1122,803 2021,886,-82.04197068,28.29236485,1,Dermacentor variabilis,Dermacentor,-82.04197068 28.29236485,360,1,0.496531661,0.351275348,0.171633002,803,0.374974061,0.392279604,0.519274895,0.777452771,0.744391005,0.474097185,0.720662804,0.380113292,0.654734192,0.562945861,0.668435012,0.440091009,0.509773876,0.35152488,0.473684211,0.220588235,0.633771449,0.563706564,0.266666667,0.668016194,0.312714777,6,0.920179609,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2
15,1123,803 2021,844,-81.3150575,28.82614942,1,Amblyomma americanum,Amblyomma,-81.3150575 28.82614942,314,1,0.531215036,0.467013985,0.07071523,803,0.374974061,0.392279604,0.494919725,0.718622229,0.638738763,0.490242765,0.709458963,0.374139904,0.658558218,0.522634485,0.34986596,0.406035116,0.487942227,0.290529695,0.273684211,0.191176471,0.597273282,0.424710425,0.171428571,0.493927126,0.223367698,6,0.781542525,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
17,1125,803 2021,879,-82.53343277,28.37585079,1,Amblyomma americanum,Amblyomma,-82.53343277 28.37585079,353,1,0.670284176,0.480920565,0.019707117,803,0.374974061,0.392279604,0.502057586,0.782769815,0.707948651,0.533635939,0.715008964,0.348026992,0.683210438,0.591392012,0.646836974,0.484698956,0.471052722,0.44141252,0.6,0.308823529,0.564857486,0.55984556,0.371428571,0.659919028,0.405498282,2,0.815974643,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
19,1127,803 2021,899,-82.40750427,28.7005555,1,Dermacentor variabilis,Dermacentor,-82.40750427 28.7005555,373,1,0.545424029,0.536098288,0.103806141,803,0.374974061,0.392279604,0.425912969,0.869141487,0.755440664,0.570515375,0.726629775,0.28397122,0.743393073,0.464627216,0.578016795,0.347756414,0.412650624,0.44141252,0.526315789,0.352941176,0.554168275,0.583011583,0.323809524,0.688259109,0.388316151,2,0.90967776,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2
20,1128,803 2021,815,-82.28443382,28.73964106,1,Amblyomma americanum,Amblyomma,-82.28443382 28.73964106,276,1,0.521593196,0.624472363,0.043006934,803,0.374974061,0.392279604,0.430298764,0.831381357,0.731956264,0.557144978,0.753434004,0.314806093,0.719137356,0.463878344,0.592539977,0.347053122,0.424559843,0.402889246,0.442105263,0.338235294,0.551656848,0.548262548,0.3,0.651821862,0.364261168,2,0.882345483,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
